time,open,high,low,close,volume
1594512000,77085226776.61288,79657977641.93237,75422849615.97685,78029739704.12907,28932658187.62551
1594598400,75978328991.6483,78583485366.50598,73200522666.34995,75022803775.69041,36913611563.265816
1594684800,75064957309.92131,77060991239.88531,72958571892.23773,75857880009.43651,34364224725.786804
1594771200,75873361912.22813,77568488585.116,74112294287.31682,75870196429.95918,31399133004.08735
1594857600,78065430187.43726,79211490684.20056,73920420242.30875,76827242698.25684,32743902852.40891
1594944000,76856902054.2446,80174343740.397,75531652363.4324,77097836772.79778,26770267147.27893
1595030400,77304841918.84401,79245930068.05118,76011503339.33827,77869653034.12262,24683918766.72905
1595116800,77911552297.02234,79837399147.19382,76113578013.54474,78379175137.78043,25193657696.65754
1595203200,78447170001.37201,79531333249.51884,75535663678.64166,76687613880.66045,26506647645.02166
1595289600,76700389584.30603,80366835531.34727,75609569193.5484,78590002673.63278,32523313867.741505
1595376000,79288367309.53548,82111367880.0662,77758929455.64781,80782181578.93803,31107525495.284588
1595462400,80975478128.564,83571375089.2161,79194195859.68188,81614425628.53084,36706290346.0543
1595548800,81724156612.6859,82709693851.3951,79119413730.00577,80452128923.75594,33122516476.27871
1595635200,80469336212.96634,84998554641.00826,79884163229.74084,83742697738.87515,37926572626.7391
1595721600,83856179407.65167,88245926932.57985,80929647329.0402,83583911613.19003,43165195331.3188
1595808000,83564699494.1528,92822010947.93196,77581267607.89642,85588147205.53104,62866230735.8829
1595894400,85489221182.59648,90664904076.96242,81518394427.28378,87252014395.70917,44646512599.8713
1595980800,87320918346.01614,91528179227.54391,84632764413.46194,87481852695.03824,31390312599.8713
1596067200,87449203010.7474,90584439303.88004,85006813087.6124,88438327235.3182,28107912599.8713
1596153600,88486746484.15045,92632161615.75842,85682062744.21262,89927867237.98804,29696212599.8713
1596240000,89977754854.97804,97444867817.2086,87751411902.15506,95515181796.384,45467512599.8713
1596326400,95517412158.5785,101543708966.15125,82473183251.89255,90824709460.27554,63738112599.8713
1596412800,90918504310.38692,97575902682.93665,89204570713.29004,94089229678.19562,28867312599.8713
1596499200,94226518535.70084,97737596347.60275,90338872450.74992,94117820164.57864,32714712599.8713
1596585600,94173644515.66872,98589770440.81345,90814201819.87389,95368676113.39577,33880312599.8713
1596672000,95458244361.8772,99186544723.39502,93109796756.7362,96541138907.60356,31927812599.8713
1596758400,96601777755.1674,99520652011.18666,89833537870.38867,94863627512.6129,41853712599.8713
1596844800,94782732269.14037,99617762276.56558,93279527453.663,97701663170.43066,15937312599.8713
1596931200,97797051887.87852,101052531538.77686,94291287503.4052,97755842432.73424,17502712599.8713
1597017600,97932015727.04404,103139147768.61316,94077136257.11996,99909874223.4411,41359212599.8713
1597104000,99910165683.53394,102274580964.6663,91055751524.33656,95316135003.85504,50818112599.8713
1597190400,95278249661.30724,100476171993.76688,91403416418.3122,98382608807.2413,42771712599.8713
1597276800,98508507723.8023,104334644764.77563,94088799611.40263,100813932607.7304,60970112599.8713
1597363200,100985821057.39798,105134638165.29211,98308421009.364,102181752851.31458,45514712599.8713
1597449600,102238145711.9358,107423659475.1213,99151521421.83977,104076269076.68008,44882312599.8713
1597536000,104235132176.8804,108658212122.72215,101025182644.81387,106480005907.17978,38216512599.8713
1597622400,106436725352.55582,113630529223.70737,101278723386.64944,107078261775.67346,56017112599.8713
1597708800,107034612480.93152,110587544285.00066,100631070119.13278,104278685308.60796,49652112599.8713
1597795200,104302446618.06451,106636845325.9484,96905698992.4849,100719019722.05132,48074012599.8713
1597881600,100817972120.25078,105465952447.71004,99064983137.55864,103868002083.6506,30087712599.8713
1597968000,103846014273.57808,108197322400.2101,96846658983.92651,98782433053.89072,51657112599.8713
1598054400,98775010661.98328,103518241126.78282,95867371260.46776,101949548940.81512,30099412599.8713
1598140800,102160417809.53584,104338722387.68352,98399561443.08324,101788207899.70206,19872312599.8713
1598227200,101836003859.31308,106127898091.86124,100016437026.76646,103667425324.17368,26145912599.8713
1598313600,103716976256.11472,104999196528.22775,94798965502.65482,98729840749.33856,47557512599.8713
1598400000,98801288858.99416,102650977707.96497,96846987750.99066,99856430564.41183,34368412599.8713
1598486400,99931367739.19089,102080728621.89618,93557409013.26884,96946550557.44934,37202712599.8713
1598572800,96485087435.04976,100629062722.61888,94920026599.088,98941575347.45236,45920945579.68184
1598659200,99013650792.36935,102584906067.85608,97219900885.953,100104957910.9183,46394007990.21991
1598745600,100128320116.2059,104875117230.58304,98691922417.1,102530085908.31998,53388080926.5519
1598832000,105983942213.02098,108508253687.685,102846813974.8088,105041681199.01732,53858544348.9305
1598918400,105118055769.66858,111536131493.22742,101321092121.31204,108390845801.7135,69429166424.12979
1599004800,108584472896.26184,110869764814.6318,97686456953.1558,102697688737.82996,75711562873.5146
1599091200,102943742699.51878,106412653701.1674,86570142231.72816,90405447143.87434,79979506114.2532
1599177600,91763730163.14502,99523071836.46349,87968081621.90915,95029238799.16612,82773636919.0777
1599264000,95250747520.07645,98417294766.65105,85018587489.96281,89098674065.52216,103315926310.8505
1599350400,89564789872.16605,96003250960.2304,86302942585.63824,92661812846.78848,86640029117.8067
1599436800,92753543736.56908,95705537208.72562,87216389577.97421,92958625266.34567,79941292443.0369
1599523200,93130421526.38126,95588205200.54808,88053173911.12566,91535097891.84338,76693428524.2978
1599609600,91758830859.1095,95978287110.0044,89796194730.66876,93594628726.49622,58694400961.9094
1599696000,93881630924.90527,98324263431.8114,92716126893.1499,95133093491.01736,121521674752.5155
1599782400,95337190079.61777,97560764581.60754,92503791307.47176,96079325322.8542,107438251035.0454
1599868800,96241907571.55402,99344680904.4016,94393076411.04802,98106496791.08144,86492531466.24261
1599955200,98233680786.0022,100925268492.51653,93377493050.2528,96073978276.22784,117817337422.7128
1600041600,96234180992.98335,100376537701.01991,93325899942.33035,97326688930.68532,76020852135.12369
1600128000,98145340319.54544,101209381707.2963,93758049613.58014,95532100948.93317,70086302303.3148
1600214400,95549802061.4886,98929144929.08405,92191225575.02985,95861609645.58356,71125248367.4073
1600300800,96071477588.28482,100075572312.51904,93859384369.5588,97357218949.6324,70845228419.92361
1600387200,97560385974.54292,99816232449.76862,94729215495.35974,96889360013.83328,65549152723.35571
1600473600,97210554571.91924,99896395635.51884,95126278637.1738,97518569288.89217,53104713053.0238
1600560000,97444152528.81732,99190559594.87708,92511397629.78471,95397820091.2772,55850766477.28651
1600646400,95685580603.23727,97312438952.47742,87754452514.76479,89965020167.80212,72107439811.731
1600732800,90108798587.1919,93167704990.22536,88480967940.6919,91550446102.51282,52090301628.0284
1600819200,91595939573.38953,92914543294.07149,86432440388.90485,87612306811.61774,50744186353.8523
1600905600,87877732053.28496,94317495499.62112,86797624728.06903,92781637893.09616,50542909901.4142
1600992000,92684933503.41516,96529503902.8008,90595094659.5321,94831370242.09,50184232865.9803
1601078400,94979621724.49864,97831150467.67387,93153061362.2341,95504462370.20969,43835374577.6895
1601164800,96023657536.8529,98492784781.11311,93281627403.59,96522172617.77292,46531089680.60538
1601251200,96660253716.21764,100085026891.63512,94047626697.2452,96003939366.36533,53190089523.43053
1601337600,96030677970.8563,99263685596.5306,94034176893.6642,97260055409.18988,48248373523.88269
1601424000,97259141812.06892,99282305221.56326,94333658432.77998,97351494623.05084,45100823272.78294
1601510400,97357116007.46262,100458764652.32924,93095441326.30908,95852237948.27551,54929971962.70315
1601596800,95823942659.8808,97171168902.04108,90226629428.85452,93645954710.5043,68408770680.04892
1601683200,93691083953.46951,95729713014.34937,92547802967.57666,94016395452.8707,47032841030.77014
1601769600,93867559626.35364,96720191700.63857,92344149612.08356,95344618363.64195,49415920503.940125
1601856000,95428813832.74573,97782070773.0242,93534877995.1904,95530083845.49744,53490065355.188286
1601942400,95294170271.95758,97239247555.88272,90326467749.50304,91925383482.00417,72031228665.44794
1602028800,91926403418.52988,94274309626.3895,89681534010.94553,92999312502.84592,57281086846.59787
1602115200,93118040779.49068,96389775294.00848,90177294434.505,94694570260.67644,63370258120.30696
1602201600,94757260095.97888,98957200126.02988,93301218177.08755,97075906463.99228,67205475850.08461
1602288000,97214579701.44946,101704990328.70842,95732027608.95589,97994979829.37164,65282416190.36043
1602374400,97933330912.53873,100688147022.87892,96376126306.18369,98854606757.88948,59596983865.97192
1602460800,98527487074.21329,102768424678.37263,95929686628.70126,99755324382.65796,72694321520.12697
1602547200,100001530866.94344,102187387685.8381,97267485485.264,99559298204.60448,65603844910.31211
1602633600,101797915751.6648,108655814624.97556,97951959388.17044,100126269435.48956,64884918866.25311
1602720000,98733144264.44644,105195580586.34505,96020590392.50612,99231372323.83636,63863762050.04776
1602806400,99920631290.62634,101818107021.63098,94882872088.58276,97130428877.06412,66934679027.46011
1602892800,97186616200.0451,99245745721.28629,95535383008.33318,97380849735.60956,49935299173.9205
1602979200,97438114099.27908,100103154579.293,96429289153.70557,98569879465.54305,49431424780.69214
1603065600,98595249184.2993,101297997906.9518,95387548677.47816,98216552417.84364,56171299534.55041
1603152000,98224634471.72968,100869884695.28378,90630250859.16444,95702397544.23856,65923653796.83298
1603238400,95820005673.02328,104730064999.20651,92785744227.81294,98837620728.36618,87011155257.2621
1603324800,98992300315.94244,104902752680.58788,97584628645.00592,101501561939.81989,77495269871.8974
1603411200,101638012406.5462,104298051119.92682,98634634157.596,101785898274.573,69008482842.5677
1603497600,101895643153.56029,105286305950.09204,100344432765.17148,103586513594.80363,59818679364.48031
1603584000,103545391869.2622,107365773112.8045,100405719691.7215,103280990020.23396,60324201680.84957
1603670400,103444242813.22516,106452496491.05798,98481021400.52324,101889335804.0228,83515009766.17758
1603756800,102073018948.40074,107559859397.60657,99022156504.98495,102871915830.15744,75614632418.97813
1603843200,102865589823.58644,106515577701.97733,96796000547.23454,100602510589.8672,81105488696.2038
1603929600,100895790829.44824,104307720152.48636,95637663759.90248,99154214559.22543,76031606612.0668
1604016000,99143260890.39816,102633575099.96494,94159650220.67096,98714248362.79938,73567733507.4909
1604102400,98779699136.09216,104127206282.75204,96607347211.67096,100498030917.48108,62535489038.6507
1604188800,100424290355.5507,108490741078.42387,97685723514.97954,101210658198.25822,51953139348.19218
1604275200,101265988915.45804,103583104916.64748,95735934371.5442,98194816647.66595,70715184109.88268
1604361600,98142809728.3434,101239517259.43964,91521227449.19884,96811684167.4725,69195506131.48586
1604448000,96815993352.18094,99694267506.2374,92024077522.45728,96927599331.16486,77243095795.15314
1604534400,97226744949.76604,105354467479.92998,90980096277.04156,98689125023.24382,73469712549.43367
