symbol,breakout_date,peak_date,b_ratio_-3,b_ratio_-2,b_ratio_-1,b_ratio_+0,b_ratio_+1,b_ratio_+2,b_ratio_+3,p_ratio_-3,p_ratio_-2,p_ratio_-1,p_ratio_+0,p_ratio_+1,p_ratio_+2
CVX-USD,2022-03-23,2022-04-01,9.606429405098194,15.339753183672112,4.5724161320815915,6.452989451394697,12.441115112609502,9.258457614582882,16.73673424391573,9.441590629299036,7.098052666031229,8.979975483789616,8.677096450368872,16.167451620154072,18.453552959515918
CVX-USD,2022-07-02,2022-07-09,8.639466807028251,27.52832253001378,21.650259083757994,7.173171957761992,8.185296833758171,22.509800670170588,36.56470487299983,10.24217896633024,12.360007850285104,9.364749284353223,14.19345984464504,11.994709067476395,9.893654959198251
CVX-USD,2024-06-13,2024-06-19,5.880599003253129,5.539499010053595,6.952557863783992,21.06605584541561,7.915467476983462,6.751284731759188,56.94569163938614,56.94569163938614,54.02769254154869,58.41934384634542,18.55733602292591,14.335565784532257,14.404054161629421
CVX-USD,2024-11-16,2024-11-25,17.76856282083017,8.135801906950334,5.253537016982124,13.111607699857043,6.137913201397538,12.280078612959034,77.77210493957602,8.594914793643094,29.92071041498898,12.312611208629187,14.081654600284587,13.974441650298619,8.425293216773166
CVX-USD,2024-11-28,2024-12-06,14.081654600284587,13.974441650298619,8.425293216773166,9.009288444292828,5.796459130275866,23.113928847593556,46.44654851646581,30.225047047587328,49.611779769890376,16.1392217423592,20.562446928259458,15.277996399452043,6.889006694521438
DAG-USD,2021-03-13,2021-03-16,25.550803545189062,20.42366762628456,14.46971150333427,22.080112602435097,12.018297443530535,28.716985853284392,28.40838421305316,22.080112602435097,12.018297443530535,28.716985853284392,28.40838421305316,9.92692606118668,14.498831481885532
DAG-USD,2021-05-23,2021-05-24,17.541515806388098,46.84112313382847,16.252916451725174,62.229592095765796,49.12858553908481,32.49937174717954,23.360619492818135,46.84112313382847,16.252916451725174,62.229592095765796,49.12858553908481,32.49937174717954,23.360619492818135
DAG-USD,2021-06-25,2021-07-04,26.963390903149076,28.61326711938097,25.537122654337807,33.643908805511494,11.822176696344844,25.16372230702548,17.03184985030177,14.643029973361465,11.526223331915663,34.000915761558126,19.264949737718485,30.672163713504695,22.09296463309629
DAG-USD,2021-07-20,2021-07-29,13.130103667535131,13.268913627020185,21.904139337260652,24.116992735582233,38.0934341781487,12.570673019133928,14.476240104132753,20.76657226609666,24.675166466179643,8.665668903405365,24.125251556072456,20.06594940335893,11.062576970312854
DAG-USD,2021-08-22,2021-08-25,10.96846818062267,6.0846586639904165,8.95063788698598,8.078638430585737,20.221988886745777,13.153454391448438,21.996043858709434,8.078638430585737,20.221988886745777,13.153454391448438,21.996043858709434,18.237626719823474,8.897162453394959
DAG-USD,2021-10-30,2021-11-03,11.52629555696163,5.231065052008654,6.423909711228637,9.432013018297326,9.69236218675893,21.987547037929602,15.782340377178073,9.69236218675893,21.987547037929602,15.782340377178073,9.795218121016337,9.230623594869304,4.86117241181383
DAG-USD,2021-12-23,2022-01-01,7.159350051849911,14.880080221639114,10.633833595288845,7.142478455161494,9.757102553308417,13.247940729770136,23.531469572073128,7.1620326736469675,21.53098583115152,15.522038812962702,6.322538516304688,8.915250377010487,11.68910918841981
DAG-USD,2024-11-22,2024-12-01,25.621754608048008,21.720182842802572,16.036033802181638,12.984228722153436,11.913815750263467,19.34429262474402,41.00641373499734,20.725490703396154,20.677953835705964,9.188737352218768,13.506387747655225,17.177813181301758,14.398441428870878
DAG-USD,2025-01-14,2025-01-23,15.597351154895712,9.83263229296043,20.04448301464279,9.64899422526322,8.640698263000935,14.065335534580893,32.38289333251387,19.93321143312048,24.540006426991056,10.981731188504206,15.948611746044028,19.67828074964828,10.6677902323568
DASH-USD,2021-01-07,2021-01-10,12.357319720382476,4.550444612301319,7.551268853810655,15.767345126186182,8.631495992430294,17.337766362450722,42.404365612562714,15.767345126186182,8.631495992430294,17.337766362450722,42.404365612562714,37.96170508212662,15.428682634129931
DASH-USD,2021-02-08,2021-02-17,10.077016552529283,5.317311150154991,7.718695552610311,9.819498868719045,9.597621813282341,14.734741548424001,20.130488385166334,23.666642316393837,44.220404781263035,11.347740483252732,14.031769620904733,16.636719141682544,23.364732688361876
DASH-USD,2021-04-13,2021-04-16,8.354298199723464,5.625116771995153,9.152235078845417,8.43047775162924,11.438494408233502,10.219368520864514,23.305700325143164,8.43047775162924,11.438494408233502,10.219368520864514,23.305700325143164,14.84129784696917,38.454648879776165
DASH-USD,2021-05-23,2021-05-26,42.98484414820176,41.90967245798289,13.781186837860314,48.98504014943552,36.24203094060967,20.0625442100268,15.376078688568363,48.98504014943552,36.24203094060967,20.0625442100268,15.376078688568363,11.61220376387786,19.995184554053026
DASH-USD,2024-11-29,2024-12-05,14.097828223164655,16.26497734911183,7.940534254567777,6.46902132298548,9.53039590563176,21.950646876186752,25.9563805342254,25.9563805342254,18.027157853096853,12.141303933371116,27.071477954650458,10.111498562262122,7.166913899111482
