symbol,breakout_date,b_adx_-3,b_adx_-2,b_adx_-1,b_adx_+0,b_adx_+1,b_adx_+2,b_adx_+3,p_adx_-3,p_adx_-2,p_adx_-1,p_adx_+0,p_adx_+1,p_adx_+2
MATIC-USD,2024-11-20,34.83240744970413,36.0836952962758,37.24560543952093,38.44631918882798,39.359949289518724,40.773123136535496,43.1721499226687,34.83240744970413,36.0836952962758,37.24560543952093,38.44631918882798,39.359949289518724,40.773123136535496
METIS-USD,2021-06-16,56.24738337854922,56.37559610093118,56.62810707905772,56.86258155874665,54.49436582030812,51.341526400287314,49.58890020233219,56.24738337854922,56.37559610093118,56.62810707905772,56.86258155874665,54.49436582030812,51.341526400287314
METIS-USD,2021-08-18,22.0823174728631,21.854177058368617,21.109294252737552,20.72729925031061,19.429326274040044,18.91619346886215,21.020260704178526,22.0823174728631,21.854177058368617,21.109294252737552,20.72729925031061,19.429326274040044,18.91619346886215
METIS-USD,2021-08-24,21.020260704178526,24.27363776891126,27.294630757591655,30.169736606191485,33.236904837555265,36.30102866434553,39.54990227309668,21.020260704178526,24.27363776891126,27.294630757591655,30.169736606191485,33.236904837555265,36.30102866434553
METIS-USD,2021-08-30,39.54990227309668,42.56671348122274,45.36803817448266,46.37252897828832,47.92763351534582,49.63800213574525,51.53260883101776,39.54990227309668,42.56671348122274,45.36803817448266,46.37252897828832,47.92763351534582,49.63800213574525
METIS-USD,2021-09-03,47.92763351534582,49.63800213574525,51.53260883101776,53.876342186847005,56.07429881629127,58.257849964262604,60.802371419834046,47.92763351534582,49.63800213574525,51.53260883101776,53.876342186847005,56.07429881629127,58.257849964262604
METIS-USD,2021-09-28,40.2486888803652,37.883252662309054,35.68677617411406,33.40861370454474,31.77968378490163,29.773249100606844,29.203267422242032,40.2486888803652,37.883252662309054,35.68677617411406,33.40861370454474,31.77968378490163,29.773249100606844
METIS-USD,2021-10-20,24.987304712543104,23.288883946488852,21.673822323409876,20.174122244836543,20.31609752404066,20.903329675247555,21.838694190779414,24.987304712543104,23.288883946488852,21.673822323409876,20.174122244836543,20.31609752404066,20.903329675247555
METIS-USD,2021-11-04,26.620913585902546,27.063644012315347,28.1767801725156,28.638504388293818,29.290936505958317,30.301839505919293,32.58002286572706,26.620913585902546,27.063644012315347,28.1767801725156,28.638504388293818,29.290936505958317,30.301839505919293
METIS-USD,2021-12-14,24.99898857137133,23.445148433291955,21.99658906842104,21.046389958097002,19.702325471452657,18.82934750791927,17.612307210261296,24.99898857137133,23.445148433291955,21.99658906842104,21.046389958097002,19.702325471452657,18.82934750791927
METIS-USD,2021-12-22,16.46349300227632,15.421857152678045,14.76838214818747,14.161583929731936,13.830429966626195,14.48019788469929,16.362447019028203,16.46349300227632,15.421857152678045,14.76838214818747,14.161583929731936,13.830429966626195,14.48019788469929
METIS-USD,2021-12-27,14.48019788469929,16.362447019028203,19.171338248637767,22.06869167432328,24.7590912838884,27.87648391773565,31.650721742343787,14.48019788469929,16.362447019028203,19.171338248637767,22.06869167432328,24.7590912838884,27.87648391773565
METIS-USD,2022-01-11,46.95805561217319,46.460160222568994,46.47906080432112,46.49661134451952,46.7213419831563,47.11272767305161,48.211895646216156,46.95805561217319,46.460160222568994,46.47906080432112,46.49661134451952,46.7213419831563,47.11272767305161
