symbol,breakout_date,peak_date,b_bbw_-3,b_bbw_-2,b_bbw_-1,b_bbw_+0,b_bbw_+1,b_bbw_+2,b_bbw_+3,p_bbw_-3,p_bbw_-2,p_bbw_-1,p_bbw_+0,p_bbw_+1,p_bbw_+2
KAVA-USD,2021-09-21,2021-09-24,0.5099961288644638,0.5386445835553131,0.6949421838994675,0.8051121040530921,0.6528321905408124,0.5458527157869365,0.45889322121555026,0.8051121040530921,0.6528321905408124,0.5458527157869365,0.45889322121555026,0.42086586841514345,0.3610641827493745
KAVA-USD,2022-05-12,2022-05-21,1.0723509562704885,1.1899649705742528,2.029113380135475,2.6700904156397707,2.285068815576974,2.0975839071287345,1.743092036065943,1.7212622249156868,1.45505662051551,1.4033279740098281,1.174238616179861,1.1127650390180808,1.1236619968668524
KAVA-USD,2024-09-16,2024-09-21,0.2557942083882782,0.20219277142354497,0.16953883038974552,0.16824292624573262,0.15984072169895325,0.1624173758709177,0.2396051170943838,0.1624173758709177,0.2396051170943838,0.2993017308178056,0.33910623401690115,0.3797593132194986,0.39379679140963214
KCS-USD,2021-01-06,2021-01-09,0.253217506538552,0.2310911802159672,0.23886055794174207,0.2655695708215327,0.32023686390839157,0.38381965803605855,0.4594960201634351,0.2655695708215327,0.32023686390839157,0.38381965803605855,0.4594960201634351,0.5600646770242506,0.6439432661517263
KCS-USD,2021-02-07,2021-02-10,0.16505178363550577,0.2104437951524846,0.3034667161202861,0.38525680239519045,0.4533986522926778,0.5159002230694224,0.5871233547991201,0.38525680239519045,0.4533986522926778,0.5159002230694224,0.5871233547991201,0.7421794906496236,0.7960472787615205
KCS-USD,2021-03-30,2021-04-08,0.17257597770663907,0.1665742192109223,0.15158860764177284,0.16001956427463782,0.17122089310099417,0.2592903017234075,0.35971940377582134,0.5222490893643408,0.616099217827383,0.7463930292895367,0.7439772895896684,0.7972018082979698,0.9152346524608499
KCS-USD,2021-07-03,2021-07-06,0.46827972435137205,0.492516772952846,0.4850047503227724,0.4542476086389995,0.4062405706868098,0.3539200917356612,0.47010152974832115,0.4542476086389995,0.4062405706868098,0.3539200917356612,0.47010152974832115,0.6165766810079343,0.7183932836044927
KCS-USD,2022-05-12,2022-05-21,0.504691730439059,0.5372073989778394,0.8073136923839314,0.9569592693699712,0.8637612708071803,0.8465417796782471,0.7300886376988578,0.6623957177775373,0.5863422222593372,0.5689044249219948,0.5296988176617382,0.48263749149341717,0.48131621916707185
KCS-USD,2023-12-09,2023-12-13,0.3276391471385645,0.3175762732141807,0.31514291504852593,0.3279440784764951,0.34065715988815626,0.3613331680021775,0.43291070592525177,0.34065715988815626,0.3613331680021775,0.43291070592525177,0.5147692592137515,0.6298373236489129,0.6744925274746237
KDA-USD,2021-02-11,2021-02-20,0.8047439869081707,0.8489611661477389,0.7688140280648872,0.8081791485629609,0.7258931568087685,0.7377936915719774,0.7232300432218954,0.7640222533009586,0.6911228192939048,0.6445442239895747,0.6039541488517084,0.5677017748861068,0.6127667286725851
KDA-USD,2021-03-16,2021-03-25,0.2441623192281273,0.24137430522585274,0.2576629656547524,0.2536789198571432,0.2271197183679669,0.2398784108335503,0.2749740060368869,0.5891302704561435,0.6602822603905839,0.6252031200504742,0.6272780036389718,0.6177620159742137,0.6614587500742667
KDA-USD,2021-04-03,2021-04-09,0.7401322718766769,0.7635997614868499,0.7624545721501984,0.729118024316811,0.6318324703261531,0.48287145550339106,0.42757148675394396,0.42757148675394396,0.42407994205093547,0.48070266303631026,0.6131235112592818,0.8579358260789426,0.9652017357427579
KDA-USD,2021-06-07,2021-06-10,0.908904355072013,0.8046835660750614,0.7073149884857064,0.6302473512760998,0.6223484083635489,0.49275255566770315,0.38535978000935206,0.6302473512760998,0.6223484083635489,0.49275255566770315,0.38535978000935206,0.4138732286236477,0.4593846241014891
