symbol,breakout_date,market_level,macd_d0,macd_d1,macd_d2,macd_d3,macd_signal_d0,macd_signal_d1,macd_signal_d2,macd_signal_d3
A-USD,2020-11-21,9.0,0.0007131028598071,0.0008863346829687,0.0006683384114683,0.0004467600975865,0.0002723940510421,0.0001622168488509,-1.8812609678536628e-05,-0.0001906003649652
A-USD,2020-11-21,8.0,0.0007131028598071,0.0008863346829687,0.0006683384114683,0.0004467600975865,0.0002723940510421,0.0001622168488509,-1.8812609678536628e-05,-0.0001906003649652
A-USD,2020-11-21,7.0,0.0007131028598071,0.0008863346829687,0.0006683384114683,0.0004467600975865,0.0002723940510421,0.0001622168488509,-1.8812609678536628e-05,-0.0001906003649652
A-USD,2020-11-27,8.0,0.0004269519535336,0.0009513363665373,0.0010187021034169,0.0010018968800005,0.0006558737843375,0.0007131042420385,0.0006535462109138,0.000562257237788
A-USD,2020-11-27,7.0,0.0004269519535336,0.0009513363665373,0.0010187021034169,0.0010018968800005,0.0006558737843375,0.0007131042420385,0.0006535462109138,0.000562257237788
A-USD,2020-11-27,7.0,0.0004269519535336,0.0009513363665373,0.0010187021034169,0.0010018968800005,0.0006558737843375,0.0007131042420385,0.0006535462109138,0.000562257237788
A-USD,2020-11-27,6.0,0.0004269519535336,0.0009513363665373,0.0010187021034169,0.0010018968800005,0.0006558737843375,0.0007131042420385,0.0006535462109138,0.000562257237788
A-USD,2020-12-14,7.0,-0.0001608838948725,0.0003320846637155,0.0003310941663766,0.0003484322343414,0.0003051147010584,0.0004216143500412,0.0004439967716226,0.0004722224229341
A-USD,2020-12-14,6.0,-0.0001608838948725,0.0003320846637155,0.0003310941663766,0.0003484322343414,0.0003051147010584,0.0004216143500412,0.0004439967716226,0.0004722224229341
A-USD,2020-12-14,4.0,-0.0001608838948725,0.0003320846637155,0.0003310941663766,0.0003484322343414,0.0003051147010584,0.0004216143500412,0.0004439967716226,0.0004722224229341
A-USD,2020-12-14,4.0,-0.0001608838948725,0.0003320846637155,0.0003310941663766,0.0003484322343414,0.0003051147010584,0.0004216143500412,0.0004439967716226,0.0004722224229341
A-USD,2020-12-24,6.0,-0.0002074219187184,0.0003106941640784,0.0004593049292237,0.0004328655004057,0.0002705441328278,0.0003900356457143,0.0004098710161233,0.0003975125378482
A-USD,2020-12-24,6.0,-0.0002074219187184,0.0003106941640784,0.0004593049292237,0.0004328655004057,0.0002705441328278,0.0003900356457143,0.0004098710161233,0.0003975125378482
A-USD,2020-12-24,6.0,-0.0002074219187184,0.0003106941640784,0.0004593049292237,0.0004328655004057,0.0002705441328278,0.0003900356457143,0.0004098710161233,0.0003975125378482
A-USD,2020-12-24,6.0,-0.0002074219187184,0.0003106941640784,0.0004593049292237,0.0004328655004057,0.0002705441328278,0.0003900356457143,0.0004098710161233,0.0003975125378482
A-USD,2020-12-29,6.0,-0.0009575529510185,-0.0007202663655157,-0.0007199148982261,-0.0006806893283035,-0.000429534750665,-0.0002975302005766,-0.0001918461593418,-5.9828974620764136e-05
A-USD,2020-12-29,6.0,-0.0009575529510185,-0.0007202663655157,-0.0007199148982261,-0.0006806893283035,-0.000429534750665,-0.0002975302005766,-0.0001918461593418,-5.9828974620764136e-05
A-USD,2020-12-29,6.0,-0.0009575529510185,-0.0007202663655157,-0.0007199148982261,-0.0006806893283035,-0.000429534750665,-0.0002975302005766,-0.0001918461593418,-5.9828974620764136e-05
A-USD,2020-12-29,6.0,-0.0009575529510185,-0.0007202663655157,-0.0007199148982261,-0.0006806893283035,-0.000429534750665,-0.0002975302005766,-0.0001918461593418,-5.9828974620764136e-05
A-USD,2021-01-05,8.0,0.0007419575817408,0.000753613158053,0.0005836228146941,0.0003589788144319,0.0002058746601581,7.185392976250745e-05,-9.858587731013946e-05,-0.0002691380503112
A-USD,2021-01-05,8.0,0.0007419575817408,0.000753613158053,0.0005836228146941,0.0003589788144319,0.0002058746601581,7.185392976250745e-05,-9.858587731013946e-05,-0.0002691380503112
A-USD,2021-01-05,9.0,0.0007419575817408,0.000753613158053,0.0005836228146941,0.0003589788144319,0.0002058746601581,7.185392976250745e-05,-9.858587731013946e-05,-0.0002691380503112
A-USD,2021-01-05,9.0,0.0007419575817408,0.000753613158053,0.0005836228146941,0.0003589788144319,0.0002058746601581,7.185392976250745e-05,-9.858587731013946e-05,-0.0002691380503112
A-USD,2021-01-21,7.0,0.0007852462458435,0.0011029860370732,0.0011407123011582,0.0011590361368345,0.0010469786947344,0.0011124118069571,0.0011147682494281,0.0011082822364956
