symbol,breakout_date,b_stochrsi_-3,b_stochrsi_-2,b_stochrsi_-1,b_stochrsi_+0,b_stochrsi_+1,b_stochrsi_+2,b_stochrsi_+3,p_stochrsi_-3,p_stochrsi_-2,p_stochrsi_-1,p_stochrsi_+0,p_stochrsi_+1,p_stochrsi_+2
LCX-USD,2021-01-28,0.8379292639413385,1.0,0.6980673113614321,0.7468637958647927,0.6737480058300213,0.8188418805089475,1.0,0.8379292639413385,1.0,0.6980673113614321,0.7468637958647927,0.6737480058300213,0.8188418805089475
LCX-USD,2021-02-03,1.0,0.19263483469693052,0.0,0.4646333830973341,0.38293897581542635,0.4574968141824386,0.7595827736368533,1.0,0.19263483469693052,0.0,0.4646333830973341,0.38293897581542635,0.4574968141824386
LCX-USD,2021-02-07,0.38293897581542635,0.4574968141824386,0.7595827736368533,0.47694668449488437,0.25746158535869057,0.3202609040836594,0.809609011884863,0.38293897581542635,0.4574968141824386,0.7595827736368533,0.47694668449488437,0.25746158535869057,0.3202609040836594
LCX-USD,2021-02-11,0.25746158535869057,0.3202609040836594,0.809609011884863,0.7421330244409893,0.8198350007470796,0.748197037509589,0.9399032275305356,0.25746158535869057,0.3202609040836594,0.809609011884863,0.7421330244409893,0.8198350007470796,0.748197037509589
LCX-USD,2021-02-28,0.3127615407524791,0.11344423015844986,0.25189105648631527,0.0,0.5444058696585992,0.7150023820044794,0.9582627718956982,0.3127615407524791,0.11344423015844986,0.25189105648631527,0.0,0.5444058696585992,0.7150023820044794
LCX-USD,2021-03-04,0.5444058696585992,0.7150023820044794,0.9582627718956982,0.7550856573014506,0.7270035635277535,1.0,1.0,0.5444058696585992,0.7150023820044794,0.9582627718956982,0.7550856573014506,0.7270035635277535,1.0
LCX-USD,2021-03-09,1.0,1.0,1.0,0.8796335094284198,1.0,1.0,1.0,1.0,1.0,1.0,0.8796335094284198,1.0,1.0
LCX-USD,2021-03-13,1.0,1.0,1.0,1.0,1.0,1.0,0.9353952471104975,1.0,1.0,1.0,1.0,1.0,1.0
LCX-USD,2021-04-17,0.7913551028925764,1.0,0.5887770407350013,0.5087418505934026,0.5843810072500595,0.6607472944220527,0.8449850982098732,0.7913551028925764,1.0,0.5887770407350013,0.5087418505934026,0.5843810072500595,0.6607472944220527
LCX-USD,2021-05-02,0.0,0.8992989262948865,1.0,0.6449253960738697,0.5854501798102678,0.0,0.8397991203452904,0.0,0.8992989262948865,1.0,0.6449253960738697,0.5854501798102678,0.0
LCX-USD,2021-05-09,0.7872521462061693,0.9679956754799215,0.6318187360900748,0.5221205810124396,0.34310394174011877,0.797500522431147,0.8490026613727188,0.7872521462061693,0.9679956754799215,0.6318187360900748,0.5221205810124396,0.34310394174011877,0.797500522431147
LCX-USD,2021-06-12,0.902201580947955,1.0,0.9967932648818769,1.0,1.0,0.9653599150535856,1.0,0.902201580947955,1.0,0.9967932648818769,1.0,1.0,0.9653599150535856
LCX-USD,2021-07-05,0.8968835422904031,0.49039648694626414,0.7059917835065216,0.6631209575998467,1.0,0.908840572641143,0.9713367795610572,0.8968835422904031,0.49039648694626414,0.7059917835065216,0.6631209575998467,1.0,0.908840572641143
LCX-USD,2021-07-31,0.9426456109919473,1.0,1.0,0.8516775833557229,0.990589594749582,0.8687029139420138,0.95871920781992,0.9426456109919473,1.0,1.0,0.8516775833557229,0.990589594749582,0.8687029139420138
LCX-USD,2021-08-20,0.0,0.0,0.01361592269204879,0.031226667731451056,0.15436558733674965,0.4689466472395992,0.3960732533560824,0.0,0.0,0.01361592269204879,0.031226667731451056,0.15436558733674965,0.4689466472395992
LCX-USD,2021-09-09,0.5940743574829996,0.6942297069249589,0.8288558223829522,0.5754842503109224,0.3009867074673519,0.5519105968860698,1.0,0.5940743574829996,0.6942297069249589,0.8288558223829522,0.5754842503109224,0.3009867074673519,0.5519105968860698
LCX-USD,2021-09-13,0.3009867074673519,0.5519105968860698,1.0,1.0,1.0,1.0,1.0,0.3009867074673519,0.5519105968860698,1.0,1.0,1.0,1.0
