symbol,breakout_date,peak_date,b_vs_-3,b_vs_-2,b_vs_-1,b_vs_+0,b_vs_+1,b_vs_+2,b_vs_+3,p_vs_-3,p_vs_-2,p_vs_-1,p_vs_+0,p_vs_+1,p_vs_+2
AIOZ-USD,2025-04-23,2025-05-01,-59.53373822181902,-27.34179120744408,70.26448379398084,107.39155967837522,2.278594624097674,53.93371075843907,132.91184744657804,6.349336072363854,8.193148040112575,-22.415758861725045,-11.437781404105607,-36.90047672122672,-55.13698191755957
AIOZ-USD,2025-05-07,2025-05-10,-56.13814645626813,16.78947666805195,-25.71626040079511,-32.32840072370918,61.96508912657235,95.78077143044325,92.87231937615003,-32.32840072370918,61.96508912657235,95.78077143044325,92.87231937615003,42.19532436687818,108.59975415176142
AITECH-USD,2024-08-20,2024-08-25,11.89985347407292,32.323999999708406,10.647588707947442,21.469709830033068,0.8998489492382911,19.845776304203678,58.45079724937663,19.845776304203678,58.45079724937663,18.826181163758516,4.184401909135849,4.83239221503764,1.4420144789651257
AITECH-USD,2024-09-21,2024-09-28,-0.18008379280026743,40.57605758028089,34.69196866150395,-15.97686180475053,-21.768604346317787,36.02074266347972,41.399105783527055,23.174512406697346,39.29053546329264,21.835296612161702,-18.73399835263222,-23.326789682989045,3.9824458790665984
AITECH-USD,2024-11-21,2024-11-29,22.16933329307946,-11.742649459935384,-28.194439529920736,-16.999718307953437,21.322969481566535,46.6821609756427,114.0839810360906,39.08506160501739,0.9176729719236443,39.27539071681885,94.85015907313137,28.757878947450145,22.21702611206613
AITECH-USD,2025-04-22,2025-05-01,-11.060561667353097,-12.340184893621108,19.115815910446045,58.075263726156855,57.17743642265714,75.66311848430063,137.41575651963385,76.86021317269298,108.4223695307677,65.44195825571164,70.37117108027333,32.70073499418618,15.835639594821549
AITECH-USD,2025-05-06,2025-05-15,15.835639594821549,6.948227402521079,21.227681702253133,5.708287946963875,11.751371925242559,47.157595507664205,44.11588977509098,30.17793395645929,14.404155490955128,12.801914641933232,16.91603752375066,21.8013667646326,9.70112219408965
AKT-USD,2021-06-21,2021-06-29,-25.74057664961691,-7.516609115940243,0.38667460693802,18.436139634667057,13.482384066231523,-13.2183442223487,94.39908839248436,-74.01963304951549,-75.08358844258693,-79.7225330042328,-66.88769443818936,-58.75294147564774,-70.24956374770541
AKT-USD,2021-09-07,2021-09-12,-39.07947685516664,-48.94364077274583,-30.006274570857627,85.45089362353488,-31.525969857532665,97.11549003628845,90.97964940355074,97.11549003628845,90.97964940355074,-13.609775975776417,88.58778167782708,83.30589804920372,12.497304477192994
AKT-USD,2022-11-02,2022-11-05,-8.849162696603518,0.9611116473943859,-0.7502103377731606,2.930382837056489,21.166156116673186,79.29932254303056,31.936823485601785,2.930382837056489,21.166156116673186,79.29932254303056,31.936823485601785,-24.98866655082692,-17.14946823020439
