symbol,breakout_date,pct_gain,days_to_peak,strength
AIOZ-USD,2021-05-29,80.50406971133474,5,strong
AIOZ-USD,2021-06-10,49.23319908152856,5,moderate
AIOZ-USD,2021-07-24,53.67692103775975,4,strong
AIOZ-USD,2021-08-29,48.89235043542729,4,moderate
AIOZ-USD,2021-10-31,58.064545285948064,10,strong
AIOZ-USD,2021-11-08,135.6421432550403,7,strong
AIOZ-USD,2021-11-12,119.53256672789396,8,strong
AIOZ-USD,2021-11-18,57.1224348551923,9,strong
AIOZ-USD,2022-03-05,81.88933969446818,4,strong
AIOZ-USD,2022-03-31,33.73461707899758,3,moderate
AIOZ-USD,2022-05-17,52.39092354767296,3,strong
AIOZ-USD,2022-07-02,89.35190796255927,4,strong
AIOZ-USD,2022-11-12,32.159822943781805,3,moderate
AIOZ-USD,2023-11-15,238.2974290281289,9,strong
AIOZ-USD,2023-11-21,257.071155341986,10,strong
AIOZ-USD,2023-11-26,188.3320472790957,5,strong
AIOZ-USD,2024-02-15,113.43770276260013,9,strong
AIOZ-USD,2024-02-19,65.37780430859824,5,strong
AIOZ-USD,2024-03-04,238.2421421120981,5,strong
AIOZ-USD,2024-03-08,71.49843064934281,9,strong
AIOZ-USD,2024-11-04,87.82989848240234,8,strong
AIOZ-USD,2024-11-09,56.84860295535851,9,strong
AIOZ-USD,2024-11-28,64.16238453743918,3,strong
AIOZ-USD,2025-01-01,46.46196867161272,5,moderate
AIOZ-USD,2025-04-23,34.03402366917889,8,moderate
AIOZ-USD,2025-05-07,37.256985846252654,3,moderate
AITECH-USD,2023-11-20,83.31067780290621,4,strong
AITECH-USD,2024-01-01,222.3881361066819,8,strong
AITECH-USD,2024-01-05,140.61755089343717,10,strong
AITECH-USD,2024-01-12,32.132934935057214,3,moderate
AITECH-USD,2024-01-27,30.46249940644332,3,moderate
AITECH-USD,2024-02-14,116.8584067816845,7,strong
AITECH-USD,2024-02-18,54.10806325114288,7,strong
AITECH-USD,2024-03-06,220.1925060356266,7,strong
AITECH-USD,2024-03-10,57.36821771136176,3,strong
AITECH-USD,2024-08-20,47.90254885458644,5,moderate
AITECH-USD,2024-09-21,57.12505937502596,7,strong
AITECH-USD,2024-11-21,95.03989199102372,8,strong
AITECH-USD,2024-11-26,39.90476420223816,3,moderate
AITECH-USD,2025-04-22,77.5352587340851,9,strong
AITECH-USD,2025-05-06,65.19478740143492,10,strong
AKT-USD,2020-11-29,37.29347194054829,3,moderate
AKT-USD,2021-01-12,141.3192867957652,10,strong
AKT-USD,2021-01-16,83.92132851017267,8,strong
AKT-USD,2021-02-02,100.82843529506464,7,strong
AKT-USD,2021-02-06,51.24413075753924,7,strong
AKT-USD,2021-02-18,93.65937842378918,7,strong
AKT-USD,2021-02-22,38.80392272138096,3,moderate
AKT-USD,2021-04-03,43.01702771574657,4,moderate
AKT-USD,2021-06-21,48.23180217049661,8,moderate
AKT-USD,2021-09-07,57.49371020456891,5,strong
AKT-USD,2022-11-02,38.10589027774196,3,moderate
AKT-USD,2022-11-21,43.173468228283326,8,moderate
AKT-USD,2023-02-04,53.66128706662927,8,strong
AKT-USD,2023-05-24,88.0758588776227,7,strong
AKT-USD,2023-06-13,47.80813728699879,4,moderate
AKT-USD,2023-08-06,125.83388342747384,6,strong
AKT-USD,2023-11-15,69.58879543373837,10,strong
AKT-USD,2023-12-11,57.4073703125548,10,strong
AKT-USD,2024-01-02,37.330137539656064,8,moderate
AKT-USD,2024-03-04,40.842404082536966,5,moderate
AKT-USD,2024-05-08,40.77914615193742,9,moderate
AKT-USD,2024-11-09,59.90817235845868,10,strong
AKT-USD,2025-03-10,35.03440416000072,3,moderate
ALGO-USD,2020-02-17,50.03390840145225,7,strong
ALGO-USD,2020-07-13,45.99236900029376,6,moderate
ALGO-USD,2020-08-05,98.7692060585732,8,strong
ALGO-USD,2020-08-10,42.63985180706039,3,moderate
ALGO-USD,2021-02-09,66.41358569604797,3,strong
ALGO-USD,2021-09-05,80.71926370603289,7,strong
ALGO-USD,2023-12-06,41.25098295541424,8,moderate
ALGO-USD,2024-11-13,101.44212042078485,10,strong
ALGO-USD,2024-11-20,109.24183621176986,10,strong
ALGO-USD,2024-11-26,70.66579409892671,7,strong
ALGO-USD,2025-01-13,34.49747455668686,4,moderate
ALT-USD,2020-02-07,470.21275673477845,6,strong
ALT-USD,2020-02-14,89.47367394984161,2,strong
ALT-USD,2020-03-03,104.49438349212434,3,strong
ALT-USD,2020-03-18,89.32039164161473,6,strong
ALT-USD,2020-04-11,224.69135791372665,3,strong
ALT-USD,2020-04-21,121.6216083346246,3,strong
ALT-USD,2020-05-08,72.54902408370252,4,strong
ALT-USD,2020-05-22,100.990106570456,10,strong
ALT-USD,2020-05-27,118.2795677893092,5,strong
ALT-USD,2020-06-22,81.44330701133497,3,strong
ALT-USD,2020-07-03,144.79165750848884,5,strong
ALT-USD,2020-07-19,114.70588046474622,8,strong
AMAPT-USD,2024-09-18,40.41868794977654,9,moderate
AMAPT-USD,2024-11-08,40.537189655946186,3,moderate
AMP-USD,2020-11-10,48.95585316943588,10,moderate
AMP-USD,2021-01-02,35.831050831784275,3,moderate
AMP-USD,2021-01-27,140.76815408368134,9,strong
AMP-USD,2021-02-02,253.09106498328697,10,strong
AMP-USD,2021-02-07,222.308096502888,8,strong
AMP-USD,2021-04-11,118.51167259177676,7,strong
AMP-USD,2021-04-15,58.54109225907415,3,strong
AMP-USD,2021-05-04,35.08340595911986,4,moderate
AMP-USD,2021-05-23,42.47485002471435,3,moderate
AMP-USD,2021-06-07,155.55659730016498,9,strong
AMP-USD,2021-06-12,84.29919731517973,4,strong
AMP-USD,2021-07-20,92.21091011703189,8,strong
AMP-USD,2021-07-24,52.93419057356782,4,strong
AMP-USD,2021-10-31,47.46249626052458,3,moderate
AMP-USD,2021-11-20,34.52798882839713,3,moderate
AMP-USD,2022-05-11,34.44590976280741,4,moderate
AMP-USD,2023-01-13,45.04652471260923,3,moderate
AMP-USD,2023-02-20,42.85713774784735,3,moderate
AMP-USD,2023-12-03,67.82574515112853,8,strong
AMP-USD,2024-02-19,42.41037795997868,3,moderate
AMP-USD,2024-03-08,153.93524008609998,5,strong
AMP-USD,2024-11-25,108.45124521662004,10,strong
AMP-USD,2024-12-01,66.6942400123866,7,strong
AMP-USD,2025-01-14,43.2403877614526,3,moderate
ANKR-USD,2020-02-10,93.0345278960398,5,strong
ANKR-USD,2020-03-12,35.95263638105458,3,moderate
ANKR-USD,2020-05-24,30.87834821073868,3,moderate
ANKR-USD,2020-07-11,72.04783898466799,4,strong
ANKR-USD,2020-08-03,180.69220935416723,7,strong
ANKR-USD,2020-08-07,103.44316762351002,3,strong
ANKR-USD,2020-09-23,71.47766646090939,6,strong
ANKR-USD,2020-11-03,38.35658218429637,7,moderate
ANKR-USD,2021-01-17,43.64473419357855,3,moderate
ANKR-USD,2021-02-01,81.37861137901223,10,strong
ANKR-USD,2021-02-10,58.34641810689958,9,strong
ANKR-USD,2021-03-09,84.77697569953506,10,strong
ANKR-USD,2021-03-20,174.30052331185786,7,strong
ANKR-USD,2021-03-24,122.19439839009524,3,strong
ANKR-USD,2021-04-25,41.71947977379209,6,moderate
ANKR-USD,2021-06-21,39.739992590292175,9,moderate
ANKR-USD,2021-07-24,60.86258628714765,8,strong
ANKR-USD,2021-10-28,58.26290756465933,5,strong
ANKR-USD,2021-11-23,38.77542391900487,3,moderate
ANKR-USD,2022-08-08,56.435666123755325,3,strong
ANKR-USD,2023-02-18,50.06694076130805,4,strong
ANKR-USD,2023-03-11,34.857531369313875,6,moderate
ANKR-USD,2024-03-05,54.644193715496506,8,strong
ANKR-USD,2024-03-23,56.28655427528819,9,strong
APE-USD,2020-10-02,125.82417780444808,3,strong
APE-USD,2020-10-21,72.6408494072771,6,strong
APE-USD,2020-11-13,84.01286757761456,8,strong
APE-USD,2020-11-22,58.911351742716754,8,strong
APE-USD,2020-12-13,123.53828436252984,5,strong
APE-USD,2020-12-31,32.84545243611451,4,moderate
APE-USD,2021-01-28,107.50594838237828,7,strong
APE-USD,2021-02-01,52.76004719511298,3,strong
APE-USD,2021-02-16,195.1893940816688,4,strong
APE-USD,2021-02-26,170.06806902607644,5,strong
APE-USD,2021-03-17,10889.702813793072,3,strong
APE-USD,2021-05-23,159.64215418819902,10,strong
APE-USD,2021-05-29,82.3095914260601,5,strong
APE-USD,2021-07-25,38.729011560380215,3,moderate
APE-USD,2021-08-12,69.87294096675213,8,strong
APE-USD,2021-09-28,35.094627390457475,3,moderate
APE-USD,2021-10-31,258.2753822791297,5,strong
APE-USD,2022-03-11,1010.6186844070372,5,strong
APE-USD,2022-06-16,208.7937687634872,10,strong
APE-USD,2022-06-20,106.1407678417906,8,strong
APE-USD,2022-07-18,44.937273943298734,4,moderate
APE-USD,2022-07-26,53.97042407350976,9,strong
APE-USD,2023-06-21,81.43236341838141,2,strong
APE-USD,2023-07-12,502494.2278662506,9,strong
APE-USD,2023-07-16,359730.7540861244,5,strong
APE-USD,2024-02-06,117.79764247181394,10,strong
APE-USD,2024-06-28,465.0990117001819,2,strong
APE-USD,2024-09-06,33.927822369075784,3,moderate
APE-USD,2024-10-17,121.72728364445912,4,strong
APE-USD,2024-12-02,1279.8216807003384,6,strong
APE-USD,2024-12-09,54.96583419159165,4,strong
APE-USD,2024-12-14,303.2529075278444,3,strong
APE-USD,2024-12-21,281.9721374953857,6,strong
APE-USD,2024-12-28,95.9493626076251,4,strong
APE-USD,2025-01-02,124.67072383747008,2,strong
APE-USD,2025-01-06,441.1172664608621,4,strong
APE-USD,2025-01-22,25500.31999287613,9,strong
