market_level,metric,offset,yellow_thresh,green_thresh
7,MACD_SIGNAL,d2,-0.0001094739078963,0.0024935013620238
7,MACD_SIGNAL,d3,-0.0001333125695679,0.0020655460549926
7,OBV,d0,286422.0,819719657.1300026
7,OBV,d1,382207.0,788868543.0
7,OBV,d2,465274.0,785963712.0
7,OBV,d3,252486.53000000023,764681161.0
7,RNG,d0,0.3337685463789425,0.6565659964095375
7,RNG,d1,0.3353218924729348,0.6265583045066186
7,RNG,d2,0.3343469591315354,0.6007959499167731
7,RNG,d3,0.3310722234204422,0.602316709914366
7,RSI,d0,48.09320148794964,59.22181567893685
7,RSI,d1,50.68457092831119,60.73784709760016
7,RSI,d2,49.762484882098974,61.36950205917516
7,RSI,d3,49.54921421308951,59.75222867264618
7,RVOL,d0,0.8075034054178016,1.3147263063140298
7,RVOL,d1,0.7850643736438714,1.3071414935157226
7,RVOL,d2,0.7747918109878282,1.274447272727988
7,RVOL,d3,0.7292704670707949,1.2623935528635264
7,STD,d0,0.0022370943072911,0.051171928206137
7,STD,d1,0.0021360368363919,0.0490309846998804
7,STD,d2,0.0020813202436649,0.0468023795200389
7,STD,d3,0.0020109402666572,0.042829911052167
8,ADX,d0,26.41983513933603,42.216640806822205
8,ADX,d1,25.95298476747829,41.67928106967746
8,ADX,d2,25.438647532617853,41.14671350771047
8,ADX,d3,25.24874399808358,40.577638266410624
8,ATR,d0,0.004133359324925,0.0750838463909171
8,ATR,d1,0.0040913841963337,0.0736988595055028
8,ATR,d2,0.0037620820995727,0.0737230542274504
8,ATR,d3,0.0037414294632421,0.0709573935481195
8,BBW,d0,0.446608650293013,0.750447796383765
8,BBW,d1,0.4392809622957221,0.7013889210767968
8,BBW,d2,0.434038927056982,0.6921878463852276
8,BBW,d3,0.4230592814996402,0.7090674506202964
8,CMF,d0,-0.0269056654909575,0.1350860666965723
8,CMF,d1,-0.0264830234178473,0.1467331376835428
8,CMF,d2,-0.0340272392975704,0.1290253786322364
8,CMF,d3,-0.0326902319526657,0.1237107555911151
8,EMA100_PCT,d0,-4.2836275640698265,41.750058790835695
8,EMA100_PCT,d1,1.8382598638287888,46.40363104804258
8,EMA100_PCT,d2,-1.1303175769640248,42.432607587892186
8,EMA100_PCT,d3,-2.0398531298453,42.24228480878088
8,EMA10_PCT,d0,-0.4758006543317343,7.664192814468529
8,EMA10_PCT,d1,1.4636551635547057,10.858743583057164
8,EMA10_PCT,d2,0.6289684759154425,10.428706868529895
8,EMA10_PCT,d3,-0.1107673550781307,9.745623010511489
8,EMA200_PCT,d0,-10.685956971404105,58.20031634710519
8,EMA200_PCT,d1,-5.219681694440084,62.02497431755791
8,EMA200_PCT,d2,-9.070963344768902,56.26634180324884
8,EMA200_PCT,d3,-9.483846101569457,53.9541195582869
8,EMA50_PCT,d0,-0.9119015639075426,29.33170030609713
8,EMA50_PCT,d1,4.186797370457492,34.733666144338585
8,EMA50_PCT,d2,2.2114768314074085,32.06174321495396
8,EMA50_PCT,d3,-0.0946023663368746,27.99412399614589
8,EMA5_PCT,d0,-1.505021111481328,3.254504617546142
8,EMA5_PCT,d1,0.4480252218974484,5.687366381179255
8,EMA5_PCT,d2,-0.0956829299434541,5.642232131249141
8,EMA5_PCT,d3,-0.2514513980609268,5.40112577131575
8,MACD,d0,9.397597405330594e-05,0.0212844255623377
8,MACD,d1,7.036484811175871e-05,0.0216679594888002
8,MACD,d2,2.8597593130498707e-05,0.0169875791757407
8,MACD,d3,8.199190533717317e-06,0.0138816953944839
