feature,built_in,permutation
std__b_std_pct_+0,2.7689546e-05,-3.2952535679864337e-05
vol_vtp__p_vtp_-1,2.7369237e-05,-3.719363360251693e-05
bbw__p_bbw_+0,2.7182787e-05,5.722897958936324e-05
obv__b_obv_-1,2.5580475e-05,-3.943511226306429e-05
atr__b_atr_-1,2.3215442e-05,-2.491270724634953e-05
macd__b_macd_signal_+3,2.3116498e-05,8.67663492222226e-06
atr__p_atr_-3,2.0107047e-05,-6.3136584824929894e-06
macd__b_macd_signal_+2,1.9679266e-05,-3.136575022650856e-05
ema_pct__p_ema100_pct_+0,1.6847867e-05,3.299388932627156e-05
atr__p_atr_+0,1.5478296e-05,-5.829782213384593e-06
atr__p_atr_+2,1.5477937e-05,1.0806024121845503e-05
vol_vtp__p_vtp_-3,1.3721279e-05,-7.113507390943408e-06
atr__b_atr_+0,1.3622825e-05,-4.547788433106881e-06
ema_pct__b_ema50_pct_+0,1.0962726e-05,-6.649701122685148e-06
vol_vs__b_vs_-2,1.0213942e-05,7.659061010256708e-06
macd__b_macd_+1,9.047466e-06,-6.022952256157233e-07
vol_vtp__b_vtp_-1,7.6265787e-06,4.338174952844831e-06
ema_pct__p_ema200_pct_-3,6.70573e-06,-1.0995272101044229e-05
atr__p_atr_+1,6.170169e-06,3.874105753087775e-06
atr__b_atr_+2,5.581508e-06,8.569194825502891e-07
obv__b_obv_+2,5.2386395e-06,-2.1710384436401943e-05
obv__p_obv_+2,3.6750805e-06,9.834170905664852e-06
macd__b_macd_signal_+1,3.5042624e-06,-3.169653524359717e-06
atr__b_atr_-2,3.037824e-06,1.285101705845726e-05
vol_vtp__b_vtp_+1,1.8468143e-06,-4.350817779619209e-06
vol_vtp__p_vtp_+1,0.0,0.0
macd__b_macd_-1,0.0,0.0
macd__p_macd_signal_+2,0.0,0.0
vol_vtp__b_vtp_+2,0.0,0.0
