symbol,breakout_date,b_macd_-3,b_macd_signal_-3,b_macd_-2,b_macd_signal_-2,b_macd_-1,b_macd_signal_-1,b_macd_+0,b_macd_signal_+0,b_macd_+1,b_macd_signal_+1,b_macd_+2,b_macd_signal_+2,b_macd_+3,b_macd_signal_+3,p_macd_-3,p_macd_signal_-3,p_macd_-2,p_macd_signal_-2,p_macd_-1,p_macd_signal_-1,p_macd_+0,p_macd_signal_+0,p_macd_+1,p_macd_signal_+1,p_macd_+2,p_macd_signal_+2
KSM-USD,2020-04-27,0.4622334951364446,0.320045640048931,0.4739711362787844,0.35083073929490166,0.4938020203884568,0.3794249955136127,0.48226757738666093,0.3999935118882224,0.4855085421245988,0.41709651793549773,0.481209272304445,0.4299190688092872,0.5553450593168887,0.45500426691080753,0.4622334951364446,0.320045640048931,0.4739711362787844,0.35083073929490166,0.4938020203884568,0.3794249955136127,0.48226757738666093,0.3999935118882224,0.4855085421245988,0.41709651793549773,0.481209272304445,0.4299190688092872
KSM-USD,2020-05-11,0.7676303242016553,0.6935067522654654,0.7719644207382155,0.7091982859600154,0.8209933924971322,0.7315573072674388,0.7822493435876767,0.7416957145314864,0.7829256711983454,0.7499417058648583,0.8510996162456594,0.7701732879410186,0.9327022159703064,0.8026790735468762,0.7676303242016553,0.6935067522654654,0.7719644207382155,0.7091982859600154,0.8209933924971322,0.7315573072674388,0.7822493435876767,0.7416957145314864,0.7829256711983454,0.7499417058648583,0.8510996162456594,0.7701732879410186
KSM-USD,2020-07-20,0.37170114331730275,0.436457197188723,0.39855984408551937,0.4288777265680823,0.5039643170650789,0.4438950446674817,0.5744481568291055,0.4700056670998065,0.558693644754725,0.4877432626307902,0.6240230826531104,0.5149992266352543,0.9650320804958739,0.6050057974073783,0.37170114331730275,0.436457197188723,0.39855984408551937,0.4288777265680823,0.5039643170650789,0.4438950446674817,0.5744481568291055,0.4700056670998065,0.558693644754725,0.4877432626307902,0.6240230826531104,0.5149992266352543
KSM-USD,2020-08-19,1.0249578200146274,1.0558710840566534,0.9362371076881288,1.0319442887829486,0.875403712789673,1.0006361735842937,0.7569097123584498,0.951890881339125,0.8542240910149861,0.9323575232742973,0.9397114757691583,0.9338283137732696,1.2704620685530976,1.001155064729235,1.0249578200146274,1.0558710840566534,0.9362371076881288,1.0319442887829486,0.875403712789673,1.0006361735842937,0.7569097123584498,0.951890881339125,0.8542240910149861,0.9323575232742973,0.9397114757691583,0.9338283137732696
KSM-USD,2020-08-23,0.8542240910149861,0.9323575232742973,0.9397114757691583,0.9338283137732696,1.2704620685530976,1.001155064729235,1.4561490972647704,1.092153871236342,2.005102385951142,1.274743574179302,3.492483875594921,1.718291634462426,4.24921791246155,2.2244768900622507,0.8542240910149861,0.9323575232742973,0.9397114757691583,0.9338283137732696,1.2704620685530976,1.001155064729235,1.4561490972647704,1.092153871236342,2.005102385951142,1.274743574179302,3.492483875594921,1.718291634462426
KSM-USD,2020-08-28,3.492483875594921,1.718291634462426,4.24921791246155,2.2244768900622507,4.403376611761544,2.6602568344021096,4.895443366648816,3.1072941408514514,5.3889679790048675,3.5636289084821344,5.7022687981556786,3.9913568864168436,6.847189783330911,4.562523465799657,3.492483875594921,1.718291634462426,4.24921791246155,2.2244768900622507,4.403376611761544,2.6602568344021096,4.895443366648816,3.1072941408514514,5.3889679790048675,3.5636289084821344,5.7022687981556786,3.9913568864168436
KSM-USD,2021-01-11,5.371449123433067,4.820148280418352,5.164103682236913,4.888939360782064,5.1146494132585545,4.934081371277363,4.478740584435187,4.843013213908928,3.7682513168695593,4.6280608345010545,4.309795858927458,4.564407839386336,5.579508528936529,4.767427977296374,5.371449123433067,4.820148280418352,5.164103682236913,4.888939360782064,5.1146494132585545,4.934081371277363,4.478740584435187,4.843013213908928,3.7682513168695593,4.6280608345010545,4.309795858927458,4.564407839386336
KSM-USD,2021-01-15,3.7682513168695593,4.6280608345010545,4.309795858927458,4.564407839386336,5.579508528936529,4.767427977296374,6.1524457554156555,5.044431532920231,8.104619803788424,5.656469187093871,9.487628803759094,6.422701110426916,10.99909369428265,7.337979627198063,3.7682513168695593,4.6280608345010545,4.309795858927458,4.564407839386336,5.579508528936529,4.767427977296374,6.1524457554156555,5.044431532920231,8.104619803788424,5.656469187093871,9.487628803759094,6.422701110426916
KSM-USD,2021-02-14,12.041578317829249,10.180166179204178,13.697639236040729,10.88366079057149,15.457447913974093,11.79841821525201,16.43871458523256,12.726477489248122,19.53622850941477,14.088427693281453,23.17645677484822,15.906033509594806,28.336146340921374,18.392056075860122,12.041578317829249,10.180166179204178,13.697639236040729,10.88366079057149,15.457447913974093,11.79841821525201,16.43871458523256,12.726477489248122,19.53622850941477,14.088427693281453,23.17645677484822,15.906033509594806
KSM-USD,2021-03-08,22.768581570048354,26.735996099931008,21.19351939858808,25.62750075966242,20.112768390197374,24.524554285769415,19.76187568885001,23.572018566385534,22.887638638678197,23.435142580844065,26.312456761028415,24.010605416880935,30.65203782784826,25.3388918990744,22.768581570048354,26.735996099931008,21.19351939858808,25.62750075966242,20.112768390197374,24.524554285769415,19.76187568885001,23.572018566385534,22.887638638678197,23.435142580844065,26.312456761028415,24.010605416880935
