symbol,breakout_date,market_level,adx_d0,adx_d1,adx_d2,adx_d3
DGB-USD,2021-02-09,8.0,32.09438166764791,29.21918808805847,26.13540629255173,24.84809909552831
DGB-USD,2021-02-09,9.0,32.09438166764791,29.21918808805847,26.13540629255173,24.84809909552831
DGB-USD,2021-02-09,8.0,32.09438166764791,29.21918808805847,26.13540629255173,24.84809909552831
DGB-USD,2021-02-09,8.0,32.09438166764791,29.21918808805847,26.13540629255173,24.84809909552831
DGB-USD,2021-02-14,8.0,42.929298191619054,40.68947489389144,38.27735749633864,35.68520380926012
DGB-USD,2021-02-14,9.0,42.929298191619054,40.68947489389144,38.27735749633864,35.68520380926012
DGB-USD,2021-02-14,8.0,42.929298191619054,40.68947489389144,38.27735749633864,35.68520380926012
DGB-USD,2021-02-14,8.0,42.929298191619054,40.68947489389144,38.27735749633864,35.68520380926012
DGB-USD,2021-04-13,5.0,21.10782987442304,22.222748077078503,22.99703163194271,23.32920047203809
DGB-USD,2021-04-13,6.0,21.10782987442304,22.222748077078503,22.99703163194271,23.32920047203809
DGB-USD,2021-04-13,6.0,21.10782987442304,22.222748077078503,22.99703163194271,23.32920047203809
DGB-USD,2021-04-13,7.0,21.10782987442304,22.222748077078503,22.99703163194271,23.32920047203809
DGB-USD,2022-03-24,8.0,15.204705766422176,15.509033663133858,16.69632615441451,17.493374042062534
DGB-USD,2022-03-24,9.0,15.204705766422176,15.509033663133858,16.69632615441451,17.493374042062534
DGB-USD,2022-03-24,8.0,15.204705766422176,15.509033663133858,16.69632615441451,17.493374042062534
DGB-USD,2022-03-24,9.0,15.204705766422176,15.509033663133858,16.69632615441451,17.493374042062534
DGB-USD,2024-02-23,,24.595376581033275,23.535811407138805,22.394741219867832,22.888756513952806
DGB-USD,2024-03-29,7.0,16.6630541198566,17.92626796830854,18.954035953925143,20.06086301535841
DGB-USD,2024-03-29,8.0,16.6630541198566,17.92626796830854,18.954035953925143,20.06086301535841
DGB-USD,2024-03-29,7.0,16.6630541198566,17.92626796830854,18.954035953925143,20.06086301535841
DGB-USD,2024-03-29,8.0,16.6630541198566,17.92626796830854,18.954035953925143,20.06086301535841
DGB-USD,2024-11-17,9.0,31.871802691794585,29.552405675943103,27.283221826293364,24.839485372824413
DGB-USD,2024-11-17,9.0,31.871802691794585,29.552405675943103,27.283221826293364,24.839485372824413
DGB-USD,2024-11-17,8.0,31.871802691794585,29.552405675943103,27.283221826293364,24.839485372824413
DGB-USD,2024-11-17,7.0,31.871802691794585,29.552405675943103,27.283221826293364,24.839485372824413
DGB-USD,2024-11-27,9.0,55.00493974170704,53.97417250279205,52.8641154762682,50.47111985025561
DGB-USD,2024-11-27,9.0,55.00493974170704,53.97417250279205,52.8641154762682,50.47111985025561
DGB-USD,2024-11-27,9.0,55.00493974170704,53.97417250279205,52.8641154762682,50.47111985025561
DGB-USD,2024-11-27,9.0,55.00493974170704,53.97417250279205,52.8641154762682,50.47111985025561
DGB-USD,2024-12-01,9.0,61.21007220319244,59.20670251646087,57.04922746921149,56.06494078559824
DGB-USD,2024-12-01,9.0,61.21007220319244,59.20670251646087,57.04922746921149,56.06494078559824
DGB-USD,2024-12-01,9.0,61.21007220319244,59.20670251646087,57.04922746921149,56.06494078559824
DGB-USD,2024-12-01,9.0,61.21007220319244,59.20670251646087,57.04922746921149,56.06494078559824
DGB-USD,2024-12-31,9.0,22.97836783701793,23.30480823608604,24.0682524746168,25.42482333378671
DGB-USD,2024-12-31,9.0,22.97836783701793,23.30480823608604,24.0682524746168,25.42482333378671
DGB-USD,2024-12-31,8.0,22.97836783701793,23.30480823608604,24.0682524746168,25.42482333378671
DGB-USD,2024-12-31,6.0,22.97836783701793,23.30480823608604,24.0682524746168,25.42482333378671
DGB-USD,2025-03-05,2.0,31.143174345576075,32.60580088112232,34.424214074410365,35.927101650434025
DGB-USD,2025-03-05,3.0,31.143174345576075,32.60580088112232,34.424214074410365,35.927101650434025
DGB-USD,2025-03-05,4.0,31.143174345576075,32.60580088112232,34.424214074410365,35.927101650434025
DGB-USD,2025-03-05,3.0,31.143174345576075,32.60580088112232,34.424214074410365,35.927101650434025
DGB-USD,2025-03-23,8.0,24.260409720306704,24.82126733239349,25.8941400211412,27.04954137825411
DGB-USD,2025-03-23,9.0,24.260409720306704,24.82126733239349,25.8941400211412,27.04954137825411
DGB-USD,2025-03-23,9.0,24.260409720306704,24.82126733239349,25.8941400211412,27.04954137825411
DGB-USD,2025-03-23,8.0,24.260409720306704,24.82126733239349,25.8941400211412,27.04954137825411
DLC-USD,2020-07-20,9.0,57.86761007154909,60.62104952973761,63.5862920231714,66.77963009302317
DLC-USD,2020-07-20,8.0,57.86761007154909,60.62104952973761,63.5862920231714,66.77963009302317
DLC-USD,2020-07-20,7.0,57.86761007154909,60.62104952973761,63.5862920231714,66.77963009302317
DLC-USD,2020-07-20,7.0,57.86761007154909,60.62104952973761,63.5862920231714,66.77963009302317
DLC-USD,2020-07-24,9.0,54.32044416080504,53.6505357198471,52.93670573571149,55.31084486037404
DLC-USD,2020-07-24,8.0,54.32044416080504,53.6505357198471,52.93670573571149,55.31084486037404
DLC-USD,2020-07-24,7.0,54.32044416080504,53.6505357198471,52.93670573571149,55.31084486037404
DLC-USD,2020-07-24,7.0,54.32044416080504,53.6505357198471,52.93670573571149,55.31084486037404
DLC-USD,2022-03-25,8.0,32.079714453496095,32.63283933830847,32.90707599512405,32.75091958003339
DLC-USD,2022-03-25,8.0,32.079714453496095,32.63283933830847,32.90707599512405,32.75091958003339
DLC-USD,2022-03-25,9.0,32.079714453496095,32.63283933830847,32.90707599512405,32.75091958003339
DLC-USD,2022-03-25,8.0,32.079714453496095,32.63283933830847,32.90707599512405,32.75091958003339
DLC-USD,2024-03-20,7.0,52.21217992367766,51.071670838710254,51.52344968199178,52.47110477114601
DLC-USD,2024-03-20,6.0,52.21217992367766,51.071670838710254,51.52344968199178,52.47110477114601
DLC-USD,2024-03-20,6.0,52.21217992367766,51.071670838710254,51.52344968199178,52.47110477114601
DLC-USD,2024-03-20,6.0,52.21217992367766,51.071670838710254,51.52344968199178,52.47110477114601
DLC-USD,2025-03-22,7.0,79.59709346287967,78.05831634612692,76.40117175885472,74.61704816363574
DLC-USD,2025-03-22,8.0,79.59709346287967,78.05831634612692,76.40117175885472,74.61704816363574
DLC-USD,2025-03-22,9.0,79.59709346287967,78.05831634612692,76.40117175885472,74.61704816363574
DLC-USD,2025-03-22,9.0,79.59709346287967,78.05831634612692,76.40117175885472,74.61704816363574
DLC-USD,2025-05-11,,17.444563059069047,17.195849385273384,17.24250853249572,17.292756844889006
DOGE-USD,2020-12-30,7.0,34.49836568226444,34.99958359522857,35.77508679027743,35.51996873664846
DOGE-USD,2020-12-30,6.0,34.49836568226444,34.99958359522857,35.77508679027743,35.51996873664846
DOGE-USD,2020-12-30,6.0,34.49836568226444,34.99958359522857,35.77508679027743,35.51996873664846
DOGE-USD,2020-12-30,6.0,34.49836568226444,34.99958359522857,35.77508679027743,35.51996873664846
DOGE-USD,2021-01-25,9.0,23.40141632146364,25.185845248004195,26.80159789873353,28.70713491205351
DOGE-USD,2021-01-25,8.0,23.40141632146364,25.185845248004195,26.80159789873353,28.70713491205351
DOGE-USD,2021-01-25,9.0,23.40141632146364,25.185845248004195,26.80159789873353,28.70713491205351
DOGE-USD,2021-01-25,8.0,23.40141632146364,25.185845248004195,26.80159789873353,28.70713491205351
DOGE-USD,2021-01-30,,32.921664383557385,30.28518152431177,25.58581699336431,21.507336995094
DOGE-USD,2021-02-03,,40.46718206138393,39.00600438462981,37.64312093251254,35.36982703857117
DOGE-USD,2021-04-10,6.0,28.804110404148823,26.85352207828197,24.89559444101945,23.06431068391097
DOGE-USD,2021-04-10,7.0,28.804110404148823,26.85352207828197,24.89559444101945,23.06431068391097
DOGE-USD,2021-04-10,8.0,28.804110404148823,26.85352207828197,24.89559444101945,23.06431068391097
DOGE-USD,2021-04-10,9.0,28.804110404148823,26.85352207828197,24.89559444101945,23.06431068391097
DOGE-USD,2021-04-14,6.0,41.45308525732039,37.73331238923041,34.43762103270269,31.7251899893249
DOGE-USD,2021-04-14,7.0,41.45308525732039,37.73331238923041,34.43762103270269,31.7251899893249
DOGE-USD,2021-04-14,8.0,41.45308525732039,37.73331238923041,34.43762103270269,31.7251899893249
DOGE-USD,2021-04-14,9.0,41.45308525732039,37.73331238923041,34.43762103270269,31.7251899893249
DOGE-USD,2021-04-30,9.0,49.52860365090179,49.97809205787123,50.66585145575477,51.40651542270627
DOGE-USD,2021-04-30,9.0,49.52860365090179,49.97809205787123,50.66585145575477,51.40651542270627
DOGE-USD,2021-04-30,9.0,49.52860365090179,49.97809205787123,50.66585145575477,51.40651542270627
DOGE-USD,2021-04-30,9.0,49.52860365090179,49.97809205787123,50.66585145575477,51.40651542270627
DOGE-USD,2021-05-12,6.0,50.096288549425545,52.69960645822695,54.51242808021468,56.4646975192784
DOGE-USD,2021-05-12,5.0,50.096288549425545,52.69960645822695,54.51242808021468,56.4646975192784
DOGE-USD,2021-05-12,6.0,50.096288549425545,52.69960645822695,54.51242808021468,56.4646975192784
DOGE-USD,2021-05-12,8.0,50.096288549425545,52.69960645822695,54.51242808021468,56.4646975192784
DOGE-USD,2021-05-30,7.0,34.26944107437024,34.02642387868833,33.76471305256935,33.70076992224657
DOGE-USD,2021-05-30,5.0,34.26944107437024,34.02642387868833,33.76471305256935,33.70076992224657
DOGE-USD,2021-05-30,4.0,34.26944107437024,34.02642387868833,33.76471305256935,33.70076992224657
DOGE-USD,2021-05-30,2.0,34.26944107437024,34.02642387868833,33.76471305256935,33.70076992224657
DOGE-USD,2021-06-21,2.0,25.905651484020503,23.67114389873205,22.615142371298216,22.13170682147388
DOGE-USD,2021-06-21,1.0,25.905651484020503,23.67114389873205,22.615142371298216,22.13170682147388
DOGE-USD,2021-06-21,2.0,25.905651484020503,23.67114389873205,22.615142371298216,22.13170682147388
DOGE-USD,2021-06-21,2.0,25.905651484020503,23.67114389873205,22.615142371298216,22.13170682147388
DOGE-USD,2022-10-25,9.0,12.888242930258256,12.47168898329103,13.055505401646826,13.387834468552793
DOGE-USD,2022-10-25,9.0,12.888242930258256,12.47168898329103,13.055505401646826,13.387834468552793
DOGE-USD,2022-10-25,9.0,12.888242930258256,12.47168898329103,13.055505401646826,13.387834468552793
DOGE-USD,2022-10-25,9.0,12.888242930258256,12.47168898329103,13.055505401646826,13.387834468552793
DOGE-USD,2024-02-25,7.0,15.829236062000334,15.47707707426406,15.269944716824885,15.376568043101868
DOGE-USD,2024-02-25,8.0,15.829236062000334,15.47707707426406,15.269944716824885,15.376568043101868
DOGE-USD,2024-02-25,8.0,15.829236062000334,15.47707707426406,15.269944716824885,15.376568043101868
DOGE-USD,2024-02-25,8.0,15.829236062000334,15.47707707426406,15.269944716824885,15.376568043101868
DOGE-USD,2024-02-29,7.0,28.47224313172103,24.27383367200567,20.15773641548748,17.177629635274172
DOGE-USD,2024-02-29,8.0,28.47224313172103,24.27383367200567,20.15773641548748,17.177629635274172
DOGE-USD,2024-02-29,8.0,28.47224313172103,24.27383367200567,20.15773641548748,17.177629635274172
DOGE-USD,2024-02-29,8.0,28.47224313172103,24.27383367200567,20.15773641548748,17.177629635274172
DOGE-USD,2024-11-07,7.0,37.43588787176001,36.11252048381582,34.68735560449132,34.684420836315354
DOGE-USD,2024-11-07,7.0,37.43588787176001,36.11252048381582,34.68735560449132,34.684420836315354
DOGE-USD,2024-11-07,8.0,37.43588787176001,36.11252048381582,34.68735560449132,34.684420836315354
DOGE-USD,2024-11-07,9.0,37.43588787176001,36.11252048381582,34.68735560449132,34.684420836315354
DOGE-USD,2025-05-07,9.0,13.22284295630021,13.409248014916132,13.362662394746108,13.804524963029376
DOGE-USD,2025-05-07,8.0,13.22284295630021,13.409248014916132,13.362662394746108,13.804524963029376
DOGE-USD,2025-05-07,7.0,13.22284295630021,13.409248014916132,13.362662394746108,13.804524963029376
DOGE-USD,2025-05-07,4.0,13.22284295630021,13.409248014916132,13.362662394746108,13.804524963029376
DYDX-USD,2022-07-01,6.0,19.20943318033008,19.62011993704088,20.062397982729443,21.13387543240017
DYDX-USD,2022-07-01,6.0,19.20943318033008,19.62011993704088,20.062397982729443,21.13387543240017
DYDX-USD,2022-07-01,5.0,19.20943318033008,19.62011993704088,20.062397982729443,21.13387543240017
DYDX-USD,2022-07-01,4.0,19.20943318033008,19.62011993704088,20.062397982729443,21.13387543240017
DYDX-USD,2022-11-08,3.0,28.77683646839477,29.26417156117316,29.844623477990712,29.3826958700642
DYDX-USD,2022-11-08,4.0,28.77683646839477,29.26417156117316,29.844623477990712,29.3826958700642
