symbol,breakout_date,start_price,max_window_price,max_gain,market_level,Date,Close,High,Low,Open,Volume,close,volume,high,low,obv,cmf,rvol
A-USD,2021-09-01,0.0071220002137124,0.014131000265479,0.9841336480546244,9,2021-09-01,0.0071220002137124,0.0071229999884963,0.0069599999114871,0.0069630001671612,0,0.0071220002137124,0,0.0071229999884963,0.0069599999114871,63340,0.8231747121897608,0.0
A-USD,2021-10-13,0.0068339998833835,0.009549000300467,0.3972783821206781,7,2021-10-13,0.0068339998833835,0.0098879998549819,0.0063930000178515,0.0098449997603893,37,0.0068339998833835,37,0.0098879998549819,0.0063930000178515,63295,-0.7908648906984184,16.444444444444443
A-USD,2022-01-26,0.0042469999752938,0.016907999292016,2.9811630304627763,1,2022-01-26,0.0042469999752938,0.0045619998127222,0.0041769999079406,0.0042429999448359,0,0.0042469999752938,0,0.0045619998127222,0.0041769999079406,63294,-0.3245697340831483,0.0
A-USD,2022-01-30,0.0171080008149147,0.0252449996769428,0.4756253492187288,1,2022-01-30,0.0171080008149147,0.0172199998050928,0.0149480002000927,0.0169159993529319,0,0.0171080008149147,0,0.0172199998050928,0.0149480002000927,63302,0.23322030909682925,0.0
A-USD,2022-02-06,0.0106520000845193,0.0185410007834434,0.7406121513638827,8,2022-02-06,0.0106520000845193,0.0109850000590085,0.0103449998423457,0.0109440004453063,124,0.0106520000845193,124,0.0109850000590085,0.0103449998423457,64370,0.42846284753754477,0.9124356144223693
A-USD,2022-02-10,0.0079239998012781,0.0174240004271268,1.1988895588205846,7,2022-02-10,0.0079239998012781,0.0199400000274181,0.0079089999198913,0.0185439996421337,500,0.0079239998012781,500,0.0199400000274181,0.0079089999198913,65569,0.22139473581974356,2.033760423022168
A-USD,2022-02-14,0.0049870000220835,0.0260990001261234,4.233406859946152,4,2022-02-14,0.0049870000220835,0.0177549999207258,0.0048830001614987,0.0174059998244047,11,0.0049870000220835,11,0.0177549999207258,0.0048830001614987,65559,0.21884606251529434,0.04463379995942382
A-USD,2022-04-10,0.0112420003861188,0.0163659993559122,0.4557906772641925,3,2022-04-10,0.0112420003861188,0.0244200006127357,0.0112420003861188,0.0243820007890462,29,0.0112420003861188,29,0.0244200006127357,0.0112420003861188,63565,-0.3346687236552352,0.2546093064091308
A-USD,2022-04-26,0.00891700014472,0.0122069995850324,0.3689581010336195,2,2022-04-26,0.00891700014472,0.0095640001818537,0.0088590001687407,0.0095130000263452,0,0.00891700014472,0,0.0095640001818537,0.0088590001687407,63523,-0.3459003027318143,0.0
A-USD,2022-05-13,0.0027020000852644,0.0086770001798868,2.2113249097243184,1,2022-05-13,0.0027020000852644,0.0028639999218285,0.0026209999341517,0.0026449998840689,0,0.0027020000852644,0,0.0028639999218285,0.0026209999341517,63411,-0.9889863466633894,0.0
A-USD,2022-12-05,0.0016880000475794,0.0030129998922348,0.7849524924809427,8,2022-12-05,0.0016880000475794,0.0067230002023279,0.0016779999714344,0.0066149998456239,6,0.0016880000475794,6,0.0067230002023279,0.0016779999714344,63459,-0.9960356488849866,20.0
